; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x82117A68  sub_82117A68  [called 1x]
  0x82117FA8  sub_82117FA8  [called 2x]
  0x821180C8  sub_821180C8  [called 3x]
  0x821181C8  sub_821181C8  [called 8x]
  0x821183B0  sub_821183B0  [called 3x]
  0x82118438  sub_82118438  [called 1x]
  0x821184E0  sub_821184E0  [called 4x]
  0x821187D8  sub_821187D8  [called 1x]
  0x82118E70  sub_82118E70  [called 0x]
  0x82118EB0  sub_82118EB0  [called 0x]
  0x82118F00  sub_82118F00  [called 0x]
  0x82118F70  sub_82118F70  [called 0x]
  0x82119180  sub_82119180  [called 0x]
  0x821192F8  sub_821192F8  [called 2x]
  0x8211C9C8  sub_8211C9C8  [called 2x]
  0x8211CC88  sub_8211CC88  [called 3x]
  0x8211CF90  sub_8211CF90  [called 1x]
  0x8211CFB0  sub_8211CFB0  [called 1x]
  0x8211D010  sub_8211D010  [called 1x]
  0x8211D048  sub_8211D048  [called 3x]
  0x82121328  sub_82121328  [called 1x]
  0x82121530  sub_82121530  [called 0x]
  0x82121660  sub_82121660  [called 2x]
  0x821225A8  sub_821225A8  [called 6x]
  0x82122798  sub_82122798  [called 1x]
  0x82122CF0  sub_82122CF0  [called 2x]
  0x82123488  sub_82123488  [called 0x]
  0x821234C8  sub_821234C8  [called 0x]
  0x82123508  sub_82123508  [called 0x]
  0x82123548  sub_82123548  [called 0x]
  0x82123588  sub_82123588  [called 0x]
  0x821235C8  sub_821235C8  [called 0x]
  0x82123FA8  sub_82123FA8  [called 1x]
  0x821241B8  sub_821241B8  [called 3x]
  0x82125F48  sub_82125F48  [called 2x]
  0x821267E8  sub_821267E8  [called 1x]
  0x82126858  sub_82126858  [called 2x]
  0x82126BD0  sub_82126BD0  [called 2x]
  0x82126EF8  sub_82126EF8  [called 2x]
  0x82127340  sub_82127340  [called 2x]
  0x82127BD8  sub_82127BD8  [called 1x]
  0x8212B3B0  sub_8212B3B0  [called 2x]
  0x8212B5B0  sub_8212B5B0  [called 3x]
  0x8212B750  sub_8212B750  [called 4x]
  0x8212B968  sub_8212B968  [called 4x]
  0x8212BF40  sub_8212BF40  [called 4x]
  0x82132990  sub_82132990  [called 6x]
  0x82132A40  sub_82132A40  [called 6x]
  0x82132AE8  sub_82132AE8  [called 6x]
  0x82132BA0  sub_82132BA0  [called 2x]
  0x82132C18  sub_82132C18  [called 7x]
  0x82132C90  sub_82132C90  [called 2x]
  0x82132D08  sub_82132D08  [called 1x]
  0x82132D80  sub_82132D80  [called 2x]
  0x82132E08  sub_82132E08  [called 5x]
  0x82132EA8  sub_82132EA8  [called 3x]
  0x821330C0  sub_821330C0  [called 2x]
  0x82134490  sub_82134490  [called 2x]
  0x821357B8  sub_821357B8  [called 2x]
  0x82137A60  sub_82137A60  [called 3x]
  0x82137D70  sub_82137D70  [called 3x]
  0x82137DF0  sub_82137DF0  [called 3x]
  0x82137E68  sub_82137E68  [called 5x]
  0x8213C650  sub_8213C650  [called 1x]
  0x8213CC50  sub_8213CC50  [called 1x]
  0x8213E110  sub_8213E110  [called 2x]
  0x8213EB68  sub_8213EB68  [called 1x]
  0x82143900  sub_82143900  [called 1x]
  0x82143E98  sub_82143E98  [called 6x]
  0x82144180  sub_82144180  [called 1x]
  0x821444B0  sub_821444B0  [called 1x]
  0x821453C8  sub_821453C8  [called 1x]
  0x82146328  sub_82146328  [called 1x]
  0x82147A88  sub_82147A88  [called 1x]
  0x82147BF8  sub_82147BF8  [called 1x]
  0x82147EF8  sub_82147EF8  [called 4x]
  0x8214AC78  sub_8214AC78  [called 10x]
  0x8214B8D8  sub_8214B8D8  [called 13x]
  0x8214BEE8  sub_8214BEE8  [called 1x]
  0x8214D620  sub_8214D620  [called 1x]
  0x8214EA10  sub_8214EA10  [called 2x]
  0x8214EAE8  sub_8214EAE8  [called 2x]
  0x8214F950  sub_8214F950  [called 2x]
  0x821503A8  sub_821503A8  [called 1x]
  0x82152B50  sub_82152B50  [called 1x]
  0x82152EE0  sub_82152EE0  [called 12x]
  0x82153070  sub_82153070  [called 2x]
  0x82153780  sub_82153780  [called 2x]
  0x821538C0  sub_821538C0  [called 39x]
  0x82153BF8  sub_82153BF8  [called 4x]
  0x82154628  sub_82154628  [called 8x]
  0x821546D8  sub_821546D8  [called 1x]
  0x82154A90  sub_82154A90  [called 1x]
  0x82156DD8  sub_82156DD8  [called 2x]
  0x82158150  sub_82158150  [called 4x]
  0x82158240  sub_82158240  [called 1x]
  0x82158F78  sub_82158F78  [called 4x]
  0x821590F8  sub_821590F8  [called 3x]
  0x82159340  sub_82159340  [called 1x]
  0x82159480  sub_82159480  [called 1x]
  0x82159780  sub_82159780  [called 1x]
  0x82159908  sub_82159908  [called 1x]
  0x8215A5C8  sub_8215A5C8  [called 6x]
  0x8215A670  sub_8215A670  [called 3x]
  0x8215A740  sub_8215A740  [called 2x]
  0x8215AD28  sub_8215AD28  [called 10x]
  0x8215B0E8  sub_8215B0E8  [called 2x]
  0x8215B7E8  sub_8215B7E8  [called 1x]
  0x8215BA38  sub_8215BA38  [called 1x]
  0x8215CB60  sub_8215CB60  [called 2x]
  0x8215D4B8  sub_8215D4B8  [called 0x]
  0x8215D510  sub_8215D510  [called 0x]
  0x8215D6A8  sub_8215D6A8  [called 3x]
  0x8215D6B0  sub_8215D6B0  [called 0x]
  0x8215D720  sub_8215D720  [called 0x]
  0x8215D778  sub_8215D778  [called 0x]
  0x8215D7D0  sub_8215D7D0  [called 0x]
  0x8215D838  sub_8215D838  [called 0x]
  0x8215D8A0  sub_8215D8A0  [called 0x]
  0x8215D8E8  sub_8215D8E8  [called 0x]
  0x8215D940  sub_8215D940  [called 0x]
  0x8215D998  sub_8215D998  [called 0x]
  0x8215D9F0  sub_8215D9F0  [called 0x]
  0x8215DA58  sub_8215DA58  [called 0x]
  0x8215E688  sub_8215E688  [called 0x]
  0x8215E6F8  sub_8215E6F8  [called 0x]
  0x8215F598  sub_8215F598  [called 1x]
  0x8215F6B8  sub_8215F6B8  [called 1x]
  0x8215FB70  sub_8215FB70  [called 0x]
  0x8215FD68  sub_8215FD68  [called 2x]
  0x82160618  sub_82160618  [called 0x]
  0x82160698  sub_82160698  [called 1x]
  0x82160C98  sub_82160C98  [called 16x]
  0x821613C8  sub_821613C8  [called 2x]
  0x82161488  sub_82161488  [called 8x]
  0x82161700  sub_82161700  [called 1x]
  0x82161D40  sub_82161D40  [called 0x]
  0x82161DB8  sub_82161DB8  [called 0x]
  0x821622B8  sub_821622B8  [called 0x]
  0x82162318  sub_82162318  [called 0x]
  0x82162378  sub_82162378  [called 0x]
  0x82162420  sub_82162420  [called 0x]
  0x821624C8  sub_821624C8  [called 3x]
  0x82162708  sub_82162708  [called 1x]
  0x82162CD8  sub_82162CD8  [called 1x]
