auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P8rh ] 0x8211D010  pongCreatureInst_D010_h                                  rev private helper 'pongCreatureInst' sz=56
  [P8f  ] 0x8211FCD0  game_FCD0                                                fwd 3/8 'game'
  [P8r  ] 0x821225A8  spdShaft_25A8                                            rev 5/6 callers 'rage::spdShaft'
  [P8r  ] 0x82122CF0  game_2CF0                                                rev 2/2 callers 'game'
  [P8r  ] 0x82122D58  ph_2D58                                                  rev 3/3 callers 'ph'
  [P8r  ] 0x82123E78  ph_3E78                                                  rev 3/3 callers 'ph'
  [P8r  ] 0x82124080  ke_4080                                                  rev 2/2 callers 'ke'
  [P8r  ] 0x821240F8  rage_40F8                                                rev 2/3 callers 'rage'
  [P8r  ] 0x82124220  ph_4220                                                  rev 4/4 callers 'ph'
  [P8f  ] 0x82124F78  ph_4F78                                                  fwd 2/4 'ph'
  [P8r  ] 0x82125600  ke_5600                                                  rev 2/2 callers 'ke'
  [P8f  ] 0x82128200  game_8200                                                fwd 2/3 'game'
  [P8r  ] 0x8212B968  rage_B968                                                rev 4/4 callers 'rage'
  [P8f  ] 0x8212D5A8  game_D5A8                                                fwd 2/4 'game'
  [P8f  ] 0x8212FCB0  game_FCB0                                                fwd 2/7 'game'
  [P1r  ] 0x82135B68  crIKBodyBase_Init                                        string ref (was cr_IKBodyBase_Init_5B68_5B68_5B68_5B68_5B68_5B68_5B68)
  [P1r  ] 0x82136B98  crIKLimb_Init                                            string ref (was cr_IKLimb_Init_6B98_6B98_6B98_6B98_6B98_6B98_6B98)
  [P8r  ] 0x82137570  crIKBodyBoneFinderByName_7570                            rev 2/2 callers 'rage::crIKBodyBoneFinderByName'
  [P8r  ] 0x82137640  crIKBodyBoneFinderByName_7640                            rev 2/2 callers 'rage::crIKBodyBoneFinderByName'
  [P8f  ] 0x82137B08  game_7B08_7B08                                           fwd 3/3 'game'
