auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x824ABFD8  thunk_fn_824ABD10                                   [thunk -> fn_824ABD10]
  0x824AC5C8  thunk_fn_824AC508                                   [thunk -> fn_824AC508]
  0x824AD4C8  thunk_fn_824AD240                                   [thunk -> fn_824AD240]
  0x824AD7B8  thunk_fn_824AD6F8                                   [thunk -> fn_824AD6F8]
  0x824AE368  memset_E368                                         [calls 4x into 'memset' module]
  0x824AFCB0  nop_FCB0                                            [stub/nop body]
  0x824AFD60  nop_FD60                                            [stub/nop body]
  0x824B2750  memcpy_2750                                         [calls 2x into 'memcpy' module]
  0x824BF178  memset_F178                                         [calls 2x into 'memset' module]
  0x824C2120  nop_2120                                            [stub/nop body]
  0x824C26E0  memset_26E0                                         [calls 2x into 'memset' module]
  0x824C38B8  memset_38B8                                         [calls 3x into 'memset' module]
  0x824C6EB0  thunk_fn_824C6E18                                   [thunk -> fn_824C6E18]
  0x824C9880  memset_9880                                         [calls 2x into 'memset' module]
  0x824CCBE0  memcpy_CBE0                                         [calls 9x into 'memcpy' module]
  0x824CD288  memset_D288                                         [calls 3x into 'memset' module]
  0x824E5110  memcpy_5110                                         [calls 2x into 'memcpy' module]
  0x824E6108  vtthunk_824E6108                                    [vtable thunk (5 insns, ends bctr)]
  0x824E8728  memset_8728                                         [calls 2x into 'memset' module]
  0x824EB038  nt_B038                                             [calls 3x into 'nt' module]
  0x824EC5C8  rage_C5C8                                           [calls 7x into 'rage' module]
  0x824F5BC8  memcpy_5BC8                                         [calls 4x into 'memcpy' module]
  0x824F5C78  memcpy_5C78                                         [calls 4x into 'memcpy' module]
  0x824F5D30  memcpy_5D30                                         [calls 4x into 'memcpy' module]
  0x824F6508  nop_6508                                            [stub/nop body]
  0x824FE258  memcpy_E258                                         [calls 4x into 'memcpy' module]
  0x824FF628  memcpy_F628                                         [calls 3x into 'memcpy' module]
  0x82508D50  memcpy_8D50                                         [calls 3x into 'memcpy' module]
  0x82509C38  memset_9C38                                         [calls 3x into 'memset' module]
  0x825184A8  memset_84A8                                         [calls 4x into 'memset' module]
  0x825186D8  memset_86D8                                         [calls 2x into 'memset' module]
  0x82518B60  memset_8B60                                         [calls 2x into 'memset' module]
  0x82518EA8  memset_8EA8                                         [calls 2x into 'memset' module]
  0x82519330  memset_9330                                         [calls 2x into 'memset' module]
  0x825196A8  memset_96A8                                         [calls 2x into 'memset' module]
  0x82519958  memset_9958                                         [calls 2x into 'memset' module]
  0x82519C88  memset_9C88                                         [calls 2x into 'memset' module]
  0x82519F30  memset_9F30                                         [calls 2x into 'memset' module]
  0x8252B1A0  memset_B1A0                                         [calls 2x into 'memset' module]
  0x8252BD58  memset_BD58                                         [calls 4x into 'memset' module]
  0x82536AA8  memset_6AA8                                         [calls 4x into 'memset' module]
  0x8253E6E8  memset_E6E8                                         [calls 4x into 'memset' module]
  0x8254C598  memset_C598                                         [calls 2x into 'memset' module]
  0x82553BD8  nop_3BD8                                            [stub/nop body]
  0x8255FE98  memcpy_FE98                                         [calls 6x into 'memcpy' module]
  0x82560258  memcpy_0258                                         [calls 6x into 'memcpy' module]
  0x82560EE0  memcpy_0EE0                                         [calls 6x into 'memcpy' module]
  0x825615B8  memcpy_15B8                                         [calls 6x into 'memcpy' module]
  0x82561CB0  memcpy_1CB0                                         [calls 6x into 'memcpy' module]
  0x82562328  memcpy_2328                                         [calls 6x into 'memcpy' module]
  0x82569380  nop_9380                                            [stub/nop body]
  0x82569980  nop_9980                                            [stub/nop body]
  0x8256A698  nop_A698                                            [stub/nop body]
  0x8256B628  nop_B628                                            [stub/nop body]
  0x8256B638  rage_B638                                           [calls 2x into 'rage' module]
  0x8256C600  nop_C600                                            [stub/nop body]
  0x8256C8D0  rage_C8D0                                           [calls 3x into 'rage' module]
  0x8256DA10  nop_DA10                                            [stub/nop body]
  0x8256E1C0  nop_E1C0                                            [stub/nop body]
  0x8256E8D8  game_E8D8                                           [calls 2x into 'game' module]
  0x8256EF80  nt_EF80                                             [calls 2x into 'nt' module]
  0x8256F5F0  thunk_fn_8256F530                                   [thunk -> fn_8256F530]
  0x8256FA18  thunk_fn_8256F960                                   [thunk -> fn_8256F960]
  0x8256FB68  thunk_fn_8256FA20                                   [thunk -> fn_8256FA20]
  0x8256FB70  nop_FB70                                            [stub/nop body]
  0x8256FB80  nop_FB80                                            [stub/nop body]
  0x8256FB90  nop_FB90                                            [stub/nop body]
  0x8256FBA0  nop_FBA0                                            [stub/nop body]
  0x8256FBB0  nop_FBB0                                            [stub/nop body]
  0x8256FBC0  nop_FBC0                                            [stub/nop body]
  0x82571220  game_1220                                           [calls 4x into 'game' module]
  0x825742A8  rage_42A8                                           [calls 3x into 'rage' module]
  0x82574F18  rage_4F18                                           [calls 3x into 'rage' module]
  0x82577BC0  game_7BC0                                           [calls 2x into 'game' module]
  0x8257A5E0  nop_A5E0                                            [stub/nop body]
  0x8257BF00  game_BF00                                           [calls 2x into 'game' module]
  0x8257DB58  nop_DB58                                            [stub/nop body]
  0x82583800  game_3800                                           [calls 2x into 'game' module]
