auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x82199188  vtthunk_82199188                                    [vtable thunk (4 insns, ends bctr)]
  0x82199198  vtthunk_82199198                                    [vtable thunk (4 insns, ends bctr)]
  0x821991A8  vtthunk_821991A8                                    [vtable thunk (4 insns, ends bctr)]
  0x821991B8  vtthunk_821991B8                                    [vtable thunk (4 insns, ends bctr)]
  0x821991C8  vtthunk_821991C8                                    [vtable thunk (4 insns, ends bctr)]
  0x821991D8  vtthunk_821991D8                                    [vtable thunk (4 insns, ends bctr)]
  0x821991E8  vtthunk_821991E8                                    [vtable thunk (4 insns, ends bctr)]
  0x8219A070  game_A070                                           [calls 3x into 'game' module]
  0x821A0050  game_0050                                           [calls 2x into 'game' module]
  0x821A94A0  rage_94A0                                           [calls 2x into 'rage' module]
  0x821AA480  game_A480                                           [calls 2x into 'game' module]
  0x821AA580  game_A580                                           [calls 2x into 'game' module]
  0x821AA9D8  game_A9D8                                           [calls 2x into 'game' module]
  0x821AAB40  game_AB40                                           [calls 6x into 'game' module]
  0x821ACFE0  nop_CFE0                                            [stub/nop body]
  0x821AE4F0  nop_E4F0                                            [stub/nop body]
  0x821B1698  nop_1698                                            [stub/nop body]
  0x821B2620  nop_2620                                            [stub/nop body]
  0x821B2DA8  game_2DA8                                           [calls 2x into 'game' module]
  0x821B4648  rage_4648                                           [calls 3x into 'rage' module]
  0x821B5310  game_5310                                           [calls 2x into 'game' module]
  0x821B67F8  thunk_game_vt572C_12                                [thunk -> game_vt572C_12]
  0x821B7818  game_7818                                           [calls 6x into 'game' module]
  0x821B7920  game_7920                                           [calls 6x into 'game' module]
  0x821B8C90  rage_8C90                                           [calls 6x into 'rage' module]
  0x821C7728  rage_7728                                           [calls 2x into 'rage' module]
  0x821C7788  nop_7788                                            [stub/nop body]
  0x821CA720  game_A720                                           [calls 2x into 'game' module]
  0x821CADC0  game_ADC0                                           [calls 3x into 'game' module]
  0x821CBA70  game_BA70                                           [calls 4x into 'game' module]
  0x821CC908  game_C908                                           [calls 2x into 'game' module]
  0x821D0410  rage_0410                                           [calls 8x into 'rage' module]
  0x821D1EF0  rage_1EF0                                           [calls 2x into 'rage' module]
  0x821D1F68  game_1F68                                           [calls 24x into 'game' module]
  0x821D3218  game_3218                                           [calls 2x into 'game' module]
  0x821D3C60  game_3C60                                           [calls 4x into 'game' module]
  0x821D5AD8  nop_5AD8                                            [calls 13x into 'nop' module]
  0x821D9AD8  game_9AD8                                           [calls 3x into 'game' module]
  0x821DBFB8  game_BFB8                                           [calls 8x into 'game' module]
  0x821DCED0  rage_CED0                                           [calls 3x into 'rage' module]
  0x821DD958  rage_D958                                           [calls 4x into 'rage' module]
  0x821DDBF0  game_DBF0                                           [calls 12x into 'game' module]
  0x821E01F8  rage_01F8                                           [calls 2x into 'rage' module]
  0x821E0CE8  rage_0CE8                                           [calls 2x into 'rage' module]
  0x821E0D48  nop_0D48                                            [stub/nop body]
